# Consulta la documentación en la wiki para aprender cómo editar este archivo.
#-------------------------------
[Move,MEGADRAIN]
Name = PRAS Megadrain
Credit = Anon
    SetColor = 0,00FF00C8
    SetX = 14,-14
    SetY = 14,-12
    SetVisible = 14,true
    MoveX = 16,8,-256,EaseIn
    MoveY = 16,8,128,EaseIn
    MoveOpacity = 22,2,0
    SetVisible = 24,false
<AbsorbChunk17>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 14,13
    SetY = 14,-29
    SetVisible = 14,true
    MoveX = 16,8,-256,EaseIn
    MoveY = 16,8,128,EaseIn
    MoveOpacity = 22,2,0
    SetVisible = 24,false
<AbsorbChunk18>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 15,-6
    SetY = 15,-14
    SetVisible = 15,true
    MoveX = 17,8,-256,EaseIn
    MoveY = 17,8,128,EaseIn
    MoveOpacity = 23,2,0
    SetVisible = 25,false
<AbsorbChunk19>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 15,10
    SetY = 15,-5
    SetVisible = 15,true
    MoveX = 17,8,-256,EaseIn
    MoveY = 17,8,128,EaseIn
    MoveOpacity = 23,2,0
    SetVisible = 25,false
<HealShine0>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 18,-9
    SetY = 18,-8
    SetVisible = 18,true
    MoveY = 18,6,-48,EaseOut
    MoveOpacity = 20,4,0
    SetVisible = 24,false
<HealShine1>
    Graphic = shine 2
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 18,-18
    SetY = 18,-10
    SetVisible = 18,true
    MoveY = 18,6,-50,EaseOut
    MoveOpacity = 20,4,0
    SetVisible = 24,false
<HealShine2>
    Graphic = shine 3
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 19,26
    SetY = 19,16
    SetVisible = 19,true
    MoveY = 19,6,-24,EaseOut
    MoveOpacity = 21,4,0
    SetVisible = 25,false
<HealShine3>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 20,-27
    SetY = 20,14
    SetVisible = 20,true
    MoveY = 20,6,-26,EaseOut
    MoveOpacity = 22,4,0
    SetVisible = 26,false
<HealShine4>
    Graphic = shine 2
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 21,24
    SetY = 21,21
    SetVisible = 21,true
    MoveY = 21,6,-19,EaseOut
    MoveOpacity = 23,4,0
    SetVisible = 27,false
<HealShine5>
    Graphic = shine 3
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 22,-22
    SetY = 22,-9
    SetVisible = 22,true
    MoveY = 22,6,-49,EaseOut
    MoveOpacity = 24,4,0
    SetVisible = 28,false
<HealShine6>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 22,-15
    SetY = 22,17
    SetVisible = 22,true
    MoveY = 22,6,-23,EaseOut
    MoveOpacity = 24,4,0
    SetVisible = 28,false
<HealShine7>
    Graphic = shine 2
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 23,17
    SetY = 23,-3
    SetVisible = 23,true
    MoveY = 23,6,-43,EaseOut
    MoveOpacity = 25,4,0
    SetVisible = 29,false
<HealShine8>
    Graphic = shine 3
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 24,8
    SetY = 24,-10
    SetVisible = 24,true
    MoveY = 24,6,-50,EaseOut
    MoveOpacity = 26,4,0
    SetVisible = 30,false
<HealShine9>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 25,-23
    SetY = 25,27
    SetVisible = 25,true
    MoveY = 25,6,-13,EaseOut
    MoveOpacity = 27,4,0
    SetVisible = 31,false
#-------------------------------
[OppMove,MEGADRAIN]
Name = PRAS Megadrain
Credit = Anon
<User>
    MoveColor = 18,4,50FF3278
    MoveColor = 22,8,+00+00+00+00
<Target>
    MoveColor = 2,2,FFFFFFFF
    MoveColor = 4,4,+00+00+00+00
    MoveX = 6,2,-8,EaseOut
    MoveTone = 6,10,-100-100-100+100
    MoveX = 8,3,8,EaseBoth
    MoveX = 11,2,0,EaseBoth
    MoveTone = 25,10,+00+00+00+00
<SE>
    Play = 2,PRSFX- Mega Drain2
    Play = 19,PRSFX- Health Up
<AbsorbChunk0>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 6,33
    SetY = 6,-36
    SetVisible = 6,true
    MoveX = 8,8,256,EaseIn
    MoveY = 8,8,-128,EaseIn
    MoveOpacity = 14,2,0
    SetVisible = 16,false
<AbsorbChunk1>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 6,14
    SetY = 6,21
    SetVisible = 6,true
    MoveX = 8,8,256,EaseIn
    MoveY = 8,8,-128,EaseIn
    MoveOpacity = 14,2,0
    SetVisible = 16,false
<AbsorbChunk2>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 7,33
    SetY = 7,-39
    SetVisible = 7,true
    MoveX = 9,8,256,EaseIn
    MoveY = 9,8,-128,EaseIn
    MoveOpacity = 15,2,0
    SetVisible = 17,false
<AbsorbChunk3>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 7,-14
    SetY = 7,19
    SetVisible = 7,true
    MoveX = 9,8,256,EaseIn
    MoveY = 9,8,-128,EaseIn
    MoveOpacity = 15,2,0
    SetVisible = 17,false
<AbsorbChunk4>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 8,22
    SetY = 8,-5
    SetVisible = 8,true
    MoveX = 10,8,256,EaseIn
    MoveY = 10,8,-128,EaseIn
    MoveOpacity = 16,2,0
    SetVisible = 18,false
<AbsorbChunk5>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 8,-20
    SetY = 8,-36
    SetVisible = 8,true
    MoveX = 10,8,256,EaseIn
    MoveY = 10,8,-128,EaseIn
    MoveOpacity = 16,2,0
    SetVisible = 18,false
<AbsorbChunk6>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 9,26
    SetY = 9,22
    SetVisible = 9,true
    MoveX = 11,8,256,EaseIn
    MoveY = 11,8,-128,EaseIn
    MoveOpacity = 17,2,0
    SetVisible = 19,false
<AbsorbChunk7>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 9,1
    SetY = 9,-31
    SetVisible = 9,true
    MoveX = 11,8,256,EaseIn
    MoveY = 11,8,-128,EaseIn
    MoveOpacity = 17,2,0
    SetVisible = 19,false
<AbsorbChunk8>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 10,-9
    SetY = 10,6
    SetVisible = 10,true
    MoveX = 12,8,256,EaseIn
    MoveY = 12,8,-128,EaseIn
    MoveOpacity = 18,2,0
    SetVisible = 20,false
<AbsorbChunk9>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 10,-35
    SetY = 10,13
    SetVisible = 10,true
    MoveX = 12,8,256,EaseIn
    MoveY = 12,8,-128,EaseIn
    MoveOpacity = 18,2,0
    SetVisible = 20,false
<AbsorbChunk10>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 11,-23
    SetY = 11,37
    SetVisible = 11,true
    MoveX = 13,8,256,EaseIn
    MoveY = 13,8,-128,EaseIn
    MoveOpacity = 19,2,0
    SetVisible = 21,false
<AbsorbChunk11>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 11,5
    SetY = 11,8
    SetVisible = 11,true
    MoveX = 13,8,256,EaseIn
    MoveY = 13,8,-128,EaseIn
    MoveOpacity = 19,2,0
    SetVisible = 21,false
<AbsorbChunk12>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 12,13
    SetY = 12,-4
    SetVisible = 12,true
    MoveX = 14,8,256,EaseIn
    MoveY = 14,8,-128,EaseIn
    MoveOpacity = 20,2,0
    SetVisible = 22,false
<AbsorbChunk13>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 12,-7
    SetY = 12,18
    SetVisible = 12,true
    MoveX = 14,8,256,EaseIn
    MoveY = 14,8,-128,EaseIn
    MoveOpacity = 20,2,0
    SetVisible = 22,false
<AbsorbChunk14>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 13,-18
    SetY = 13,-2
    SetVisible = 13,true
    MoveX = 15,8,256,EaseIn
    MoveY = 15,8,-128,EaseIn
    MoveOpacity = 21,2,0
    SetVisible = 23,false
<AbsorbChunk15>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 13,6
    SetY = 13,-23
    SetVisible = 13,true
    MoveX = 15,8,256,EaseIn
    MoveY = 15,8,-128,EaseIn
    MoveOpacity = 21,2,0
    SetVisible = 23,false
<AbsorbChunk16>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 14,18
    SetY = 14,-10
    SetVisible = 14,true
    MoveX = 16,8,256,EaseIn
    MoveY = 16,8,-128,EaseIn
    MoveOpacity = 22,2,0
    SetVisible = 24,false
<AbsorbChunk17>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 14,16
    SetY = 14,38
    SetVisible = 14,true
    MoveX = 16,8,256,EaseIn
    MoveY = 16,8,-128,EaseIn
    MoveOpacity = 22,2,0
    SetVisible = 24,false
<AbsorbChunk18>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 15,8
    SetY = 15,-35
    SetVisible = 15,true
    MoveX = 17,8,256,EaseIn
    MoveY = 17,8,-128,EaseIn
    MoveOpacity = 23,2,0
    SetVisible = 25,false
<AbsorbChunk19>
    Graphic = Energy1
    Focus = Target
    SetZ = 0,750
    SetZoomX = 0,50
    SetZoomY = 0,50
    SetVisible = 0,false
    SetColor = 0,00FF00C8
    SetX = 15,34
    SetY = 15,-40
    SetVisible = 15,true
    MoveX = 17,8,256,EaseIn
    MoveY = 17,8,-128,EaseIn
    MoveOpacity = 23,2,0
    SetVisible = 25,false
<HealShine0>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 18,-15
    SetY = 18,-2
    SetVisible = 18,true
    MoveY = 18,6,-42,EaseOut
    MoveOpacity = 20,4,0
    SetVisible = 24,false
<HealShine1>
    Graphic = shine 2
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 18,-18
    SetY = 18,9
    SetVisible = 18,true
    MoveY = 18,6,-31,EaseOut
    MoveOpacity = 20,4,0
    SetVisible = 24,false
<HealShine2>
    Graphic = shine 3
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 19,4
    SetY = 19,13
    SetVisible = 19,true
    MoveY = 19,6,-27,EaseOut
    MoveOpacity = 21,4,0
    SetVisible = 25,false
<HealShine3>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 20,19
    SetY = 20,5
    SetVisible = 20,true
    MoveY = 20,6,-35,EaseOut
    MoveOpacity = 22,4,0
    SetVisible = 26,false
<HealShine4>
    Graphic = shine 2
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 21,-10
    SetY = 21,25
    SetVisible = 21,true
    MoveY = 21,6,-15,EaseOut
    MoveOpacity = 23,4,0
    SetVisible = 27,false
<HealShine5>
    Graphic = shine 3
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 22,-2
    SetY = 22,17
    SetVisible = 22,true
    MoveY = 22,6,-23,EaseOut
    MoveOpacity = 24,4,0
    SetVisible = 28,false
<HealShine6>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetY = 22,-6
    SetVisible = 22,true
    MoveY = 22,6,-46,EaseOut
    MoveOpacity = 24,4,0
    SetVisible = 28,false
<HealShine7>
    Graphic = shine 2
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 23,11
    SetY = 23,27
    SetVisible = 23,true
    MoveY = 23,6,-13,EaseOut
    MoveOpacity = 25,4,0
    SetVisible = 29,false
<HealShine8>
    Graphic = shine 3
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 24,-10
    SetY = 24,22
    SetVisible = 24,true
    MoveY = 24,6,-18,EaseOut
    MoveOpacity = 26,4,0
    SetVisible = 30,false
<HealShine9>
    Graphic = shine 1
    Focus = User
    SetZ = 0,760
    SetZoomX = 0,60
    SetZoomY = 0,60
    SetVisible = 0,false
    SetColor = 0,50FF32FF
    SetX = 25,-20
    SetY = 25,4
    SetVisible = 25,true
    MoveY = 25,6,-36,EaseOut
    MoveOpacity = 27,4,0
    SetVisible = 31,false
